,apt_name,apt_rent_month,BHK,sq_ft,description
5272,Rajdarbar,"₹ 12 Lac
₹ 743/sq.ft.",,"1,614 sq.ft.
(150 sq.m.) Plot Area",Residential land / Plot in Ajmer Road
5273,Apna Ashiyana,"₹ 24.51 Lac
₹ 5,043/sq.ft.","2 BHK
2 Baths","486 sq.ft.
(45 sq.m.) Plot Area",2 Bedroom Independent House in Muhana
5274,,"₹ 3 Cr
₹ 10,650/sq.ft.","4 BHK
5 Baths","2,817 sq.ft.
(262 sq.m.) Plot Area",4 Bedroom Independent House in Vaishali Nagar
5275,kalyanpuri,"₹ 68 Lac
₹ 3,572/sq.ft.","3 BHK
3 Baths","2,100 sq.ft.
(195 sq.m.) Super built-up Area",3 BHK Residential Apartment in Shyam Nagar
5276,Nirman Pooja Residency,"₹ 1.15 Cr
₹ 11,511/sq.ft.","4 BHK
4 Baths","999 sq.ft.
(93 sq.m.) Plot Area",4 Bedroom Independent House in Nirman Nagar
5277,nirman residency,"₹ 57.9 Lac
₹ 4,136/sq.ft.","3 BHK
3 Baths","1,400 sq.ft.
(130 sq.m.) Super built-up Area",3 BHK Residential Apartment in Nirman Nagar
5278,nirman shiv residency,"₹ 26 Lac
₹ 2,600/sq.ft.","2 BHK
2 Baths","1,000 sq.ft.
(93 sq.m.) Super built-up Area",2 BHK Residential Apartment in Chitrakoot
5279,nirman ganesh residency,"₹ 26 Lac
₹ 2,601/sq.ft.","2 BHK
2 Baths","1,000 sq.ft.
(93 sq.m.) Super built-up Area",2 BHK Residential Apartment in Gandhi Path
5280,nirman royal villas,"₹ 1.2 Cr
₹ 12,121/sq.ft.","4 BHK
4 Baths","990 sq.ft.
(92 sq.m.) Plot Area",4 Bedroom Independent House in Nirman Nagar
5281,Hanuman nagar extention,"₹ 3.2 Cr
₹ 8,889/sq.ft.",,"3,600 sq.ft.
(334 sq.m.) Plot Area",Residential land / Plot in Hanuman Nagar Extension
5282,elite villa,"₹ 1.05 Cr
₹ 9,971/sq.ft.","3 BHK
3 Baths","1,053 sq.ft.
(98 sq.m.) Plot Area",3 Bedroom Independent House in Vardhman Nagar
5283,Ganga Kotecha Royal Gravitaz,"₹ 31.49 Lac
₹ 3,200/sq.ft.","2 BHK
2 Baths","984 sq.ft.
(91 sq.m.) Super built-up Area",2 BHK Residential Apartment in Vaishali Nagar
5284,Ganga Kotecha Royal Gravitaz,"₹ 34.5 Lac
₹ 3,200/sq.ft.","2 BHK
2 Baths","1,078 sq.ft.
(100 sq.m.) Super built-up Area",2 BHK Residential Apartment in Vaishali Nagar
5285,Ganga Kotecha Royal Gravitaz,"₹ 46.69 Lac
₹ 3,200/sq.ft.","3 BHK
3 Baths","1,459 sq.ft.
(136 sq.m.) Super built-up Area",3 BHK Residential Apartment in Vaishali Nagar
5286,,"₹ 3.6 Cr
₹ 10,000/sq.ft.",,"3,600 sq.ft.
(334 sq.m.) Plot Area",Residential land / Plot in Nemi Nagar
5287,,"₹ 1.73 Cr
₹ 4,958/sq.ft.",,"3,487 sq.ft.
(324 sq.m.) Plot Area",Residential land / Plot in Marudhar Nagar
5288,Maruti Apartments,"₹ 75 Lac
₹ 3,751/sq.ft.","4 BHK
3 Baths","1,999 sq.ft.
(186 sq.m.) Carpet Area",4 BHK Residential Apartment in Chitrakoot
5289,,"₹ 23 Lac
₹ 2,000/sq.ft.","3 BHK
2 Baths","1,150 sq.ft.
(107 sq.m.) Plot Area",3 Bedroom Independent House in Kalwar Road
5290,,"₹ 34.99 Lac
₹ 2,257/sq.ft.","3 BHK
3 Baths","1,550 sq.ft.
(144 sq.m.) Plot Area",3 Bedroom Independent House in Kalwar Road
5291,Gulmohar Gardens,"₹ 32 Lac
₹ 3,168/sq.ft.","2 BHK
2 Baths","1,010 sq.ft.
(94 sq.m.) Super built-up Area",2 BHK Residential Apartment in Vatika
5292,Lata Nagar,"₹ 1.3 Cr
₹ 6,280/sq.ft.","3 BHK
4 Baths","2,070 sq.ft.
(192 sq.m.) Plot Area",3 Bedroom Independent House in Jhotwara
5293,Ashiana Manglam Rangoli Gardens,"₹ 85 Lac
₹ 5,120/sq.ft.","3 BHK
3 Baths","1,660 sq.ft.
(154 sq.m.) Super built-up Area",3 BHK Residential Apartment in Vaishali Nagar
5294,nirman residency,"₹ 54.99 Lac
₹ 3,928/sq.ft.","3 BHK
3 Baths","1,400 sq.ft.
(130 sq.m.) Super built-up Area",3 BHK Residential Apartment in Nirman Nagar
5295,nirman gopal residency,"₹ 24 Lac
₹ 2,800/sq.ft.","2 BHK
2 Baths","1,000 sq.ft.
(93 sq.m.) Super built-up Area",2 BHK Residential Apartment in Mansarovar Extension
5296,nirman laxmi villas,"₹ 64.98 Lac
₹ 8,494/sq.ft.","3 BHK
3 Baths","765 sq.ft.
(71 sq.m.) Plot Area",3 Bedroom Independent House in Mansarovar
5297,nirman laxmi villas,"₹ 64.98 Lac
₹ 8,494/sq.ft.","3 BHK
3 Baths","765 sq.ft.
(71 sq.m.) Plot Area",3 Bedroom Independent House in Mansarovar Extension
5298,,"₹ 2.55 Cr
₹ 2,833/sq.ft.",,"9,000 sq.ft.
(836 sq.m.) Plot Area",Residential land / Plot in Jagatpura
5299,,"₹ 2 Cr
₹ 11,111/sq.ft.","5 BHK
5 Baths","1,800 sq.ft.
(167 sq.m.) Plot Area",5 Bedroom Independent House in Model Town
5300,Farmhouse,"₹ 3.25 Cr
₹ 719/sq.ft.","1 BHK
1 Bath","45,208 sq.ft.
(4200 sq.m.) Plot Area",1 Bedroom Farm house in Jagatpura
5301,somya sky prime,"₹ 28.78 Lac
₹ 2,850/sq.ft.","2 BHK
2 Baths","1,010 sq.ft.
(94 sq.m.) Built-up Area",2 BHK Residential Apartment in akshaypatra
5302,Vishal Avenue,"₹ 31 Lac
₹ 2,296/sq.ft.","3 BHK
2 Baths","1,350 sq.ft.
(125 sq.m.) Super built-up Area",3 BHK Residential Apartment in Near Akasay Patra Temple Jagatpura Jaipur
5303,DND Pratistha,"₹ 16.51 Lac
₹ 2,536/sq.ft.","2 BHK
2 Baths","651 sq.ft.
(60 sq.m.) Super built-up Area",2 BHK Residential Apartment in Jagatpura
5304,Auric,"₹ 37.99 Lac
₹ 2,620/sq.ft.","3 BHK
2 Baths","1,450 sq.ft.
(135 sq.m.) Super built-up Area",3 BHK Residential Apartment in Jagatpura
5305,Auric,"₹ 27.51 Lac
₹ 2,292/sq.ft.","2 BHK
2 Baths","1,200 sq.ft.
(111 sq.m.) Super built-up Area",2 BHK Residential Apartment in Jagatpura
5306,JDA.VILLA,"₹ 74.51 Lac
₹ 3,311/sq.ft.","3 BHK
4 Baths","2,250 sq.ft.
(209 sq.m.) Plot Area",3 Bedroom Independent House in Chitrakoot
5307,Ekdant Villas,"₹ 72 Lac
₹ 2,938/sq.ft.","3 BHK
3 Baths","2,450 sq.ft.
(228 sq.m.) Plot Area",3 Bedroom Independent House in Gandhi Path
5308,Prime,"₹ 31.35 Lac
₹ 2,850/sq.ft.","2 BHK
2 Baths","1,100 sq.ft.
(102 sq.m.) Super built-up Area",2 BHK Residential Apartment in Jagatpura
5309,Auric,"₹ 24 Lac
₹ 1,920/sq.ft.","2 BHK
2 Baths","1,250 sq.ft.
(116 sq.m.) Super built-up Area",2 BHK Residential Apartment in Jagatpura
5310,Mahal Yojna,"₹ 39 Lac
₹ 2,785/sq.ft.","3 BHK
3 Baths","1,400 sq.ft.
(130 sq.m.) Super built-up Area",3 BHK Residential Apartment in Mahal Scheme
5311,Prime,"₹ 39.1 Lac
₹ 2,950/sq.ft.","3 BHK
2 Baths","1,325 sq.ft.
(123 sq.m.) Super built-up Area",3 BHK Residential Apartment in Jagatpura
5312,Prime,"₹ 37.32 Lac
₹ 2,950/sq.ft.","3 BHK
2 Baths","1,265 sq.ft.
(118 sq.m.) Super built-up Area",3 BHK Residential Apartment in Jagatputa
5313,Prime,"₹ 24.99 Lac
₹ 2,474/sq.ft.","2 BHK
2 Baths","1,010 sq.ft.
(94 sq.m.) Super built-up Area",2 BHK Residential Apartment in Jagatpura
5314,Jaipur Raghav Dreams,"₹ 38.51 Lac
₹ 3,209/sq.ft.","3 BHK
3 Baths","1,200 sq.ft.
(111 sq.m.) Carpet Area",3 BHK Residential Apartment in Jagatpura
5315,Shayam Vatika,"₹ 65 Lac
₹ 3,095/sq.ft.","3 BHK
3 Baths","2,100 sq.ft.
(195 sq.m.) Super built-up Area",3 BHK Residential Apartment in Jagatpura
5316,BBC Apartments,"₹ 95 Lac
₹ 4,318/sq.ft.","4 BHK
4 Baths","2,200 sq.ft.
(204 sq.m.) Super built-up Area",4 BHK Residential Apartment in Vaishali Nagar
5317,BBC surya Nagar 213 apartment,"₹ 68 Lac
₹ 4,415/sq.ft.","3 BHK
3 Baths","1,540 sq.ft.
(143 sq.m.) Super built-up Area",3 BHK Residential Apartment in Gopalpura Bypass
5318,,"₹ 44 Lac
₹ 3,395/sq.ft.",,"1,296 sq.ft.
(120 sq.m.) Plot Area",Residential land / Plot in Jagatpura
5319,Mahima Panache,"₹ 69.38 Lac
₹ 3,750/sq.ft.","3 BHK
3 Baths","1,850 sq.ft.
(172 sq.m.) Super built-up Area",3 BHK Residential Apartment in Jagatpura
5320,Hathoj,"₹ 24.5 Lac
₹ 2,450/sq.ft.","2 BHK
1 Bath","1,000 sq.ft.
(93 sq.m.) Built-up Area",2 Bedroom Independent House in Kalwar Road
5321,Lucky Residency Jaipur,"₹ 25 Lac
₹ 2,083/sq.ft.","3 BHK
2 Baths","1,200 sq.ft.
(111 sq.m.) Super built-up Area",3 BHK Residential Apartment in Govindpura Kardhani Scheme
5322,Lucky Residency,"₹ 25.5 Lac
₹ 2,006/sq.ft.","3 BHK
2 Baths","1,271 sq.ft.
(118 sq.m.) Super built-up Area",3 BHK Residential Apartment in Kalwar Road
5323,Lucky Residency,"₹ 26.5 Lac
₹ 2,177/sq.ft.","3 BHK
2 Baths","1,217 sq.ft.
(113 sq.m.) Super built-up Area",3 BHK Residential Apartment in Kalwar Road
5324,Hathoj,"₹ 27 Lac
₹ 2,347/sq.ft.","3 BHK
2 Baths","1,150 sq.ft.
(107 sq.m.) Built-up Area",3 Bedroom Independent House in Kalwar Road
5325,KB Kardhani,"₹ 35 Lac
₹ 2,800/sq.ft.","3 BHK
2 Baths","1,250 sq.ft.
(116 sq.m.) Carpet Area",3 BHK Residential Apartment in Govindpura
5326,kardhani scheme,"₹ 36 Lac
₹ 2,666/sq.ft.","3 BHK
2 Baths","1,350 sq.ft.
(125 sq.m.) Carpet Area",3 BHK Residential Apartment in kalwaer road
5327,Ganesh Vatika,"₹ 20 Lac
₹ 1,666/sq.ft.","3 BHK
2 Baths","1,200 sq.ft.
(111 sq.m.) Carpet Area",3 BHK Residential Apartment in Niwaru Road
5328,Ganesh Vatika,"₹ 16 Lac
₹ 2,000/sq.ft.","2 BHK
2 Baths","800 sq.ft.
(74 sq.m.) Carpet Area",2 BHK Residential Apartment in Niwaru Road
5329,kalwar road,"₹ 17 Lac
₹ 1,888/sq.ft.","2 BHK
2 Baths","900 sq.ft.
(84 sq.m.) Carpet Area",2 BHK Residential Apartment in Govindpura Kardhani Scheme
5330,Resi. Aprt.,"₹ 35 Lac
₹ 2,869/sq.ft.","3 BHK
3 Baths","1,220 sq.ft.
(113 sq.m.) Super built-up Area",3 BHK Residential Apartment in Kalwar Road
5331,,"₹ 35 Lac
₹ 3,889/sq.ft.","3 BHK
3 Baths","900 sq.ft.
(84 sq.m.) Plot Area",3 Bedroom Independent House in Kalwar Road
5332,,"₹ 38 Lac
₹ 4,222/sq.ft.","3 BHK
3 Baths","900 sq.ft.
(84 sq.m.) Plot Area",3 Bedroom Independent House in Kalwar Road
5333,,"₹ 29 Lac
₹ 4,834/sq.ft.","3 BHK
3 Baths","599 sq.ft.
(56 sq.m.) Plot Area",3 Bedroom Independent House in Kalwar Road
5334,,"₹ 36.71 Lac
₹ 4,701/sq.ft.","3 BHK
2 Baths","780 sq.ft.
(72 sq.m.) Plot Area",3 Bedroom Independent House in Kalwar Road
5335,,"₹ 38 Lac
₹ 5,556/sq.ft.","4 BHK
4 Baths","684 sq.ft.
(64 sq.m.) Plot Area",4 Bedroom Independent House in Kalwar Road
5336,,"₹ 36.51 Lac
₹ 5,071/sq.ft.","3 BHK
2 Baths","720 sq.ft.
(67 sq.m.) Plot Area",3 Bedroom Independent House in kaiwar road
5337,Resi. Aprt.,"₹ 26 Lac
₹ 2,477/sq.ft.","3 BHK
2 Baths","1,050 sq.ft.
(98 sq.m.) Super built-up Area",3 BHK Residential Apartment in Kalwar Road
5338,,"₹ 32 Lac
₹ 4,741/sq.ft.","4 BHK
3 Baths","675 sq.ft.
(63 sq.m.) Plot Area",4 Bedroom Independent House in Kalwar Road
5339,Redo. Aprt,"₹ 13 Lac
₹ 1,733/sq.ft.","2 BHK
2 Baths","750 sq.ft.
(70 sq.m.) Super built-up Area",2 BHK Residential Apartment in Kalwar Road
5340,,"₹ 42 Lac
₹ 2,470/sq.ft.","4 BHK
4 Baths","1,700 sq.ft.
(158 sq.m.) Built-up Area",4 Bedroom Independent House in Kalwar Road
5341,,"₹ 16 Lac
₹ 2,133/sq.ft.","2 BHK
2 Baths","750 sq.ft.
(70 sq.m.) Super built-up Area",2 BHK Independent Builder Floor in Kalwar Road
5342,Maglam City,"₹ 14.51 Lac
₹ 1,934/sq.ft.","2 BHK
2 Baths","750 sq.ft.
(70 sq.m.) Super built-up Area",2 BHK Residential Apartment in Kalwar Road
5343,,"₹ 26 Lac
₹ 4,762/sq.ft.","3 BHK
2 Baths","504 sq.ft.
(47 sq.m.) Plot Area",3 Bedroom Independent House in Kalwar Road
5344,,"₹ 44 Lac
₹ 5,500/sq.ft.","3 BHK
2 Baths","799 sq.ft.
(74 sq.m.) Plot Area",3 Bedroom Independent House in Kalwar Road
5345,,"₹ 35 Lac
₹ 4,861/sq.ft.","3 BHK
2 Baths","720 sq.ft.
(67 sq.m.) Plot Area",3 Bedroom Independent House in Kalwar Road
5346,,"₹ 22.11 Lac
₹ 1,579/sq.ft.","3 BHK
3 Baths","1,400 sq.ft.
(130 sq.m.) Plot Area",3 Bedroom Independent House in Kalwar Road
5347,,"₹ 22 Lac
₹ 3,943/sq.ft.","3 BHK
2 Baths","558 sq.ft.
(52 sq.m.) Plot Area",3 Bedroom Independent House in Kalwar Road
5348,mohan vatika,"₹ 25 Lac
₹ 4,209/sq.ft.","3 BHK
2 Baths","594 sq.ft.
(55 sq.m.) Plot Area",3 Bedroom Independent House in Kalwar Road
5349,Residential Apartment,"₹ 25.51 Lac
₹ 2,218/sq.ft.","2 BHK
2 Baths","1,150 sq.ft.
(107 sq.m.) Super built-up Area",2 BHK Residential Apartment in Kalwar Road
5350,Residential Apartment,"₹ 15.5 Lac
₹ 1,937/sq.ft.","2 BHK
2 Baths","800 sq.ft.
(74 sq.m.) Super built-up Area",2 BHK Residential Apartment in Kalwar Road
5351,,"₹ 30 Lac
₹ 3,704/sq.ft.","3 BHK
2 Baths","810 sq.ft.
(75 sq.m.) Plot Area",3 Bedroom Independent House in Kalwar Road
5352,Residential Apartment,"₹ 24 Lac
₹ 2,087/sq.ft.","2 BHK
2 Baths","1,150 sq.ft.
(107 sq.m.) Super built-up Area",2 BHK Residential Apartment in Kalwar Road
5353,Residential Apartment,"₹ 27 Lac
₹ 2,571/sq.ft.","3 BHK
2 Baths","1,050 sq.ft.
(98 sq.m.) Super built-up Area",3 BHK Residential Apartment in Kalwar Road
5354,,"₹ 27 Lac
₹ 4,644/sq.ft.","3 BHK
2 Baths","603 sq.ft.
(56 sq.m.) Plot Area",3 Bedroom Independent House in Kalwar Road
5355,Royal City,"₹ 11.5 Lac
₹ 2,090/sq.ft.","1 BHK
1 Bath","550 sq.ft.
(51 sq.m.) Super built-up Area",1 BHK Residential Apartment in Kalwar
5356,Residential Apartment,"₹ 11.11 Lac
₹ 1,467/sq.ft.","2 BHK
2 Baths","750 sq.ft.
(70 sq.m.) Super built-up Area",2 BHK Residential Apartment in Kalwar Road
5357,,"₹ 45 Lac
₹ 2,727/sq.ft.","4 BHK
4 Baths","1,650 sq.ft.
(153 sq.m.) Built-up Area",4 Bedroom Independent House in Kalwar Road
5358,,"₹ 34 Lac
₹ 2,615/sq.ft.","3 BHK
3 Baths","1,300 sq.ft.
(121 sq.m.) Built-up Area",3 Bedroom Independent House in Kalwar Road
5359,,"₹ 28 Lac
₹ 4,667/sq.ft.","3 BHK
2 Baths","599 sq.ft.
(56 sq.m.) Plot Area",3 Bedroom Independent House in Niwaru Road
5360,,"₹ 39.51 Lac
₹ 5,556/sq.ft.","4 BHK
4 Baths","720 sq.ft.
(67 sq.m.) Plot Area",4 Bedroom Independent House in Kalwar Road
5361,,"₹ 37 Lac
₹ 5,139/sq.ft.","3 BHK
2 Baths","720 sq.ft.
(67 sq.m.) Plot Area",3 Bedroom Independent House in Kalwar Road
5362,,"₹ 49.51 Lac
₹ 6,397/sq.ft.","3 BHK
3 Baths","774 sq.ft.
(72 sq.m.) Plot Area",3 Bedroom Independent House in Kalwar Road
5363,,"₹ 46.11 Lac
₹ 2,533/sq.ft.","4 BHK
2 Baths","1,820 sq.ft.
(169 sq.m.) Built-up Area",4 Bedroom Independent House in Kalwar Road
5364,mangiam city,"₹ 12.99 Lac
₹ 1,732/sq.ft.","2 BHK
2 Baths","750 sq.ft.
(70 sq.m.) Super built-up Area",2 BHK Residential Apartment in Kalwar Road
5365,,"₹ 25 Lac
₹ 5,050/sq.ft.","3 BHK
2 Baths","495 sq.ft.
(46 sq.m.) Plot Area",3 Bedroom Independent House in Kalwar Road
5366,,"₹ 36.11 Lac
₹ 4,665/sq.ft.","3 BHK
2 Baths","747 sq.ft.
(69 sq.m.) Plot Area",3 Bedroom Independent House in Kalwar Road
5367,,"₹ 40 Lac
₹ 5,482/sq.ft.","3 BHK
2 Baths","675 sq.ft.
(63 sq.m.) Plot Area",3 Bedroom Independent House in Kalwar Road
5368,,"₹ 26 Lac
₹ 3,852/sq.ft.","3 BHK
2 Baths","675 sq.ft.
(63 sq.m.) Plot Area",3 Bedroom Independent House in Niwaru Road
5369,,"₹ 36.71 Lac
₹ 2,218/sq.ft.","3 BHK
4 Baths","1,655 sq.ft.
(154 sq.m.) Built-up Area",3 Bedroom Independent House in Kalwar Road
5370,,"₹ 35.71 Lac
₹ 3,852/sq.ft.","3 BHK
4 Baths","927 sq.ft.
(86 sq.m.) Plot Area",3 Bedroom Independent House in Kalwar Road
5371,,"₹ 36 Lac
₹ 3,846/sq.ft.","3 BHK
4 Baths","936 sq.ft.
(87 sq.m.) Plot Area",3 Bedroom Independent House in Kalwar Road
5372,,"₹ 32 Lac
₹ 1,422/sq.ft.","4 BHK
4 Baths","2,250 sq.ft.
(209 sq.m.) Built-up Area",4 Bedroom Independent House in Kalwar Road
5373,,Price on Request,"4 BHK
2 Baths","702 sq.ft.
(65 sq.m.) Plot Area",4 Bedroom Independent House in Kalwar Road
5374,,"₹ 27 Lac
₹ 1,491/sq.ft.","4 BHK
4 Baths","1,810 sq.ft.
(168 sq.m.) Built-up Area",4 Bedroom Independent House in Kalwar Road
5375,,"₹ 40 Lac
₹ 1,818/sq.ft.","4 BHK
4 Baths","2,200 sq.ft.
(204 sq.m.) Built-up Area",4 Bedroom Independent House in Niwaru Road
5376,,"₹ 31 Lac
₹ 4,593/sq.ft.","3 BHK
3 Baths","675 sq.ft.
(63 sq.m.) Plot Area",3 Bedroom Independent House in Kalwar Road
5377,,"₹ 27 Lac
₹ 3,333/sq.ft.","3 BHK
3 Baths","810 sq.ft.
(75 sq.m.) Plot Area",3 Bedroom Independent House in Kalwar Road
5378,,"₹ 42 Lac
₹ 5,185/sq.ft.","3 BHK
3 Baths","810 sq.ft.
(75 sq.m.) Plot Area",3 Bedroom Independent House in Kalwar Road
5379,,"₹ 48.51 Lac
₹ 5,390/sq.ft.","4 BHK
4 Baths","900 sq.ft.
(84 sq.m.) Plot Area",4 Bedroom Independent House in Kalwar Road
5380,,"₹ 35 Lac
₹ 2,413/sq.ft.","3 BHK
2 Baths","1,450 sq.ft.
(135 sq.m.) Built-up Area",3 Bedroom Independent House in Kalwar Road
5381,,"₹ 40 Lac
₹ 2,105/sq.ft.","4 BHK
2 Baths","1,900 sq.ft.
(177 sq.m.) Built-up Area",4 Bedroom Independent House in Kalwar Road
5382,,"₹ 34 Lac
₹ 5,037/sq.ft.","3 BHK
2 Baths","675 sq.ft.
(63 sq.m.) Plot Area",3 Bedroom Independent House in Kalwar Road
5383,,"₹ 26 Lac
₹ 2,142/sq.ft.","3 BHK
2 Baths","1,400 sq.ft.
(130 sq.m.) Plot Area",3 Bedroom Independent House in Kalwar Road
5384,,"₹ 23.5 Lac
₹ 1,978/sq.ft.","3 BHK
2 Baths","1,188 sq.ft.
(110 sq.m.) Plot Area",3 Bedroom Independent House in Kalwar Road
5385,,"₹ 24.11 Lac
₹ 2,114/sq.ft.","3 BHK
2 Baths","1,140 sq.ft.
(106 sq.m.) Built-up Area",3 Bedroom Independent House in Kalwar Road
5386,Ansal Sushant City 2,"₹ 12.99 Lac
₹ 1,623/sq.ft.","2 BHK
2 Baths","800 sq.ft.
(74 sq.m.) Super built-up Area",2 BHK Residential Apartment in Kalwar Road
5387,,"₹ 24 Lac
₹ 2,400/sq.ft.","3 BHK
2 Baths","1,050 sq.ft.
(98 sq.m.) Built-up Area",3 Bedroom Independent House in Kalwar Road
5388,,"₹ 33 Lac
₹ 1,833/sq.ft.","4 BHK
4 Baths","1,800 sq.ft.
(167 sq.m.) Built-up Area",4 Bedroom Independent House in Kalwar Road
5389,,"₹ 23 Lac
₹ 3,651/sq.ft.","3 BHK
2 Baths","630 sq.ft.
(59 sq.m.) Plot Area",3 Bedroom Independent House in Kalwar Road
5390,Pawanpuri,"₹ 48 Lac
₹ 5,333/sq.ft.","5 BHK
4 Baths","900 sq.ft.
(84 sq.m.) Plot Area",5 Bedroom Independent House in Dadi Ka Phatak
5391,DK HOMES,"₹ 29.5 Lac
₹ 4,097/sq.ft.","3 BHK
3 Baths","720 sq.ft.
(67 sq.m.) Plot Area",3 Bedroom Independent House in Benad Road
5392,Emaar Jaipur Greens,"₹ 30.5 Lac
₹ 1,576/sq.ft.",,"1,935 sq.ft.
(180 sq.m.) Plot Area",Residential land / Plot in Mahapura
5393,Shree Ram South Court,"₹ 33.72 Lac
₹ 2,700/sq.ft.","2 BHK
2 Baths","1,249 sq.ft.
(116 sq.m.) Super built-up Area",2 BHK Residential Apartment in Jagatpura
5394,Shree Ram South Court,"₹ 37.15 Lac
₹ 2,700/sq.ft.","3 BHK
2 Baths","1,376 sq.ft.
(128 sq.m.) Super built-up Area",3 BHK Residential Apartment in Jagatpura
5395,Emaar Vaikunth at Jaipur Greens,"₹ 32.18 Lac
₹ 1,656/sq.ft.",,"1,944 sq.ft.
(181 sq.m.) Plot Area",Residential land / Plot in Mahapura
5396,Emaar Vaikunth at Jaipur Greens,"₹ 44 Lac
₹ 1,630/sq.ft.",,"2,700 sq.ft.
(251 sq.m.) Plot Area",Residential land / Plot in Mahapura
5397,Emaar Vaikunth at Jaipur Greens,"₹ 67.5 Lac
₹ 1,667/sq.ft.",,"4,050 sq.ft.
(376 sq.m.) Plot Area",Residential land / Plot in Mahapura
5398,Emaar Vaikunth at Jaipur Greens,"₹ 33.6 Lac
₹ 1,556/sq.ft.",,"2,160 sq.ft.
(201 sq.m.) Plot Area",Residential land / Plot in Mahapura
5399,Emaar Vaikunth at Jaipur Greens,"₹ 49.8 Lac
₹ 1,581/sq.ft.",,"3,150 sq.ft.
(293 sq.m.) Plot Area",Residential land / Plot in Mahapura
5400,Suncity Jewel of India,"₹ 4.5 Cr
₹ 9,050/sq.ft.","5 BHK
3 Baths","4,975 sq.ft.
(462 sq.m.) Super built-up Area",5 BHK Residential Apartment in J.L.N.Marg
5401,Suncity Jewel of India,"₹ 3.46 Cr
₹ 9,000/sq.ft.","4 BHK
4 Baths","3,865 sq.ft.
(359 sq.m.) Super built-up Area",4 BHK Residential Apartment in J.L.N.Marg
5402,Flat Project,"₹ 1.53 Cr
₹ 7,650/sq.ft.","3 BHK
3 Baths","2,000 sq.ft.
(186 sq.m.) Super built-up Area",3 BHK Residential Apartment in Bapu Nagar
5403,Emaar Vaikunth at Jaipur Greens,"₹ 34 Lac
₹ 1,511/sq.ft.",,"2,250 sq.ft.
(209 sq.m.) Plot Area",Residential land / Plot in Mahapura
5404,Emaar Vaikunth at Jaipur Greens,"₹ 70 Lac
₹ 1,556/sq.ft.",,"4,500 sq.ft.
(418 sq.m.) Plot Area",Residential land / Plot in Mahapura
5405,Emaar Vaikunth at Jaipur Greens,"₹ 67.05 Lac
₹ 1,656/sq.ft.",,"4,050 sq.ft.
(376 sq.m.) Plot Area",Residential land / Plot in Mahapura
5406,Emaar Jaipur Greens,"₹ 65.25 Lac
₹ 1,611/sq.ft.",,"4,050 sq.ft.
(376 sq.m.) Plot Area",Residential land / Plot in Mahapura
5407,Emaar Vaikunth at Jaipur Greens,"₹ 31 Lac
₹ 1,722/sq.ft.",,"1,800 sq.ft.
(167 sq.m.) Plot Area",Residential land / Plot in Mahapura
5408,Emaar Vaikunth at Jaipur Greens,"₹ 29.12 Lac
₹ 1,556/sq.ft.",,"1,872 sq.ft.
(174 sq.m.) Plot Area",Residential land / Plot in Mahapura
5409,Emaar Jaipur Greens,"₹ 47.25 Lac
₹ 1,500/sq.ft.",,"3,150 sq.ft.
(293 sq.m.) Plot Area",Residential land / Plot in Mahapura
5410,Vatika Urban Woods,"₹ 42 Lac
₹ 1,296/sq.ft.","3 BHK
3 Baths","3,240 sq.ft.
(301 sq.m.) Plot Area",3 Bedroom Independent House in Ajmer Road
5411,Vatika Infotech City,"₹ 47.5 Lac
₹ 1,466/sq.ft.",,"3,240 sq.ft.
(301 sq.m.) Plot Area",Residential land / Plot in Ajmer Road
5412,Omaxe City,"₹ 67 Lac
₹ 2,831/sq.ft.","3 BHK
3 Baths","2,367 sq.ft.
(220 sq.m.) Plot Area",3 Bedroom Independent House in Ajmer Road
5413,Vatika Infotech City,"₹ 25.02 Lac
₹ 1,544/sq.ft.",,"1,620 sq.ft.
(151 sq.m.) Plot Area",Residential land / Plot in Ajmer Road
5414,Vatika Infotech City,"₹ 33 Lac
₹ 1,222/sq.ft.",,"2,700 sq.ft.
(251 sq.m.) Plot Area",Residential land / Plot in Ajmer Road
5415,Vatika Urban Woods,"₹ 40.5 Lac
₹ 1,976/sq.ft.","3 BHK
3 Baths","2,050 sq.ft.
(190 sq.m.) Super built-up Area",3 BHK Independent Builder Floor in Ajmer Road
5416,Vatika Urban Woods,"₹ 41 Lac
₹ 1,951/sq.ft.","3 BHK
3 Baths","2,050 sq.ft.
(190 sq.m.) Built-up Area",3 BHK Independent Builder Floor in Ajmer Road
5417,Vatika Infotech City,"₹ 36 Lac
₹ 1,333/sq.ft.",,"2,700 sq.ft.
(251 sq.m.) Plot Area",Residential land / Plot in Ajmer Road
5418,Vatika Urban Woods,"₹ 53 Lac
₹ 2,060/sq.ft.","4 BHK
4 Baths","2,573 sq.ft.
(239 sq.m.) Super built-up Area",4 BHK Independent Builder Floor in Ajmer Road
5419,Vatika Suraksha Enclave,"₹ 19.4 Lac
₹ 14,700/sq.ft.",,"132 sq.ft.
(12 sq.m.) Plot Area",Residential land / Plot in Thikariya
5420,Vatika Suraksha Enclave,"₹ 17.76 Lac
₹ 1,644/sq.ft.",,"1,080 sq.ft.
(100 sq.m.) Plot Area",Residential land / Plot in Thikariya
5421,Vatika Suraksha Enclave,"₹ 14.8 Lac
₹ 1,644/sq.ft.",,"900 sq.ft.
(84 sq.m.) Plot Area",Residential land / Plot in Thikariya
